,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
Japan,-25%,+2%,+3%,-43%,-13%,+8%
Aichi,-19% ,+5% ,+19% ,-43% ,-10% ,+7% 
Akita,-14% ,+2% ,-23% ,-38% ,-6% ,+7% 
Aomori,-21% ,+2% ,-12% ,-35% ,-8% ,+6% 
Chiba,-35% ,-1% ,-14% ,-53% ,-18% ,+10% 
Ehime,-18% ,+4% ,+58% ,-24% ,-6% ,+6% 
Fukui,-35% ,+3% ,-20% ,-41% ,-17% ,+10% 
Fukuoka,-25% ,+3% ,+34% ,-50% ,-14% ,+8% 
Fukushima,-15% ,+3% ,+4% ,-36% ,-8% ,+7% 
Gifu,-22% ,+6% ,+1% ,-35% ,-10% ,+8% 
Gunma,-20% ,+0% ,-1% ,-40% ,-9% ,+7% 
Hiroshima,-15% ,+8% ,+27% ,-32% ,-9% ,+5% 
Hokkaido,-14% ,+2% ,-16% ,-36% ,-11% ,+5% 
Hyogo,-18% ,+6% ,+14% ,-39% ,-11% ,+6% 
Ibaraki,-25% ,-1% ,-24% ,-44% ,-11% ,+9% 
Ishikawa,-21% ,+9% ,-12% ,-43% ,-10% ,+7% 
Iwate,-12% ,+5% ,-18% ,-33% ,-7% ,+6% 
Kagawa,-14% ,+6% ,+46% ,-33% ,-6% ,+5% 
Kagoshima,-10% ,+7% ,+29% ,-27% ,-4% ,+5% 
Kanagawa,-34% ,+1% ,-3% ,-48% ,-20% ,+10% 
Kochi,-14% ,+2% ,+18% ,-18% ,-7% ,+5% 
Kumamoto,-18% ,+3% ,+32% ,-25% ,-10% ,+6% 
Kyoto,-25% ,+6% ,+12% ,-48% ,-12% ,+7% 
Mie,-17% ,+8% ,-1% ,-41% ,-8% ,+7% 
Miyagi,-31% ,+0% ,-2% ,-54% ,-16% ,+9% 
Miyazaki,-13% ,+5% ,+19% ,-27% ,-6% ,+5% 
Nagano,-18% ,+5% ,-7% ,-42% ,-7% ,+6% 
Nagasaki,-15% ,+8% ,+29% ,-34% ,-7% ,+6% 
Nara,-13% ,+16% ,+55% ,-30% ,-9% ,+6% 
Niigata,-14% ,+2% ,-31% ,-43% ,-9% ,+7% 
Oita,-18% ,+3% ,+16% ,-30% ,-10% ,+6% 
Okayama,-15% ,+5% ,+39% ,-28% ,-8% ,+5% 
Okinawa,-19% ,+2% ,-18% ,-40% ,-8% ,+6% 
Osaka,-29% ,+4% ,+19% ,-48% ,-14% ,+7% 
Saga,-15% ,+5% ,+25% ,-34% ,-8% ,+7% 
Saitama,-30% ,-1% ,-9% ,-50% ,-18% ,+9% 
Shiga,-15% ,+10% ,+34% ,-37% ,-8% ,+6% 
Shimane,-4% ,+13% ,+53% ,-5% ,-3% ,+3% 
Shizuoka,-18% ,+6% ,+16% ,-40% ,-10% ,+7% 
Tochigi,-21% ,+1% ,-11% ,-40% ,-8% ,+7% 
Tokushima,-13% ,+6% ,+51% ,-16% ,-5% ,+5% 
Tokyo,-50% ,-4% ,-30% ,-58% ,-27% ,+12% 
Tottori,-5% ,+13% ,+13% ,-22% ,-5% ,+4% 
Toyama,-25% ,+6% ,-5% ,-41% ,-9% ,+8% 
Wakayama,-13% ,+9% ,+53% ,-23% ,-5% ,+5% 
Yamagata,-19% ,+2% ,-25% ,-45% ,-10% ,+7% 
Yamaguchi,-10% ,+8% ,+57% ,-20% ,-6% ,+5% 
Yamanashi,-19% ,+5% ,+3% ,-35% ,-8% ,+7% 
Slovakia,-77%,-88%,+26%,-55%,-36%,+8%
Banská Bystrica Region,-78% ,-88% ,+39% ,-52% ,-31% ,+7% 
Bratislava Region,-78% ,-90% ,+32% ,-58% ,-36% ,+11% 
Košice Region,-77% ,-89% ,+59% ,-55% ,-34% ,+7% 
Nitra Region,-78% ,-89% ,+68% ,-50% ,-34% ,+8% 
Prešov Region,-78% ,-87% ,-32% ,-62% ,-38% ,+8% 
Trenčín Region,-73% ,-87% ,+35% ,-52% ,-39% ,+7% 
Trnava Region,-77% ,-87% ,+106% ,-53% ,-38% ,+8% 
Žilina Region,-78% ,-85% ,+13% ,-58% ,-39% ,+7% 
Hong Kong,-37%,-16%,-52%,-47%,-27%,+17%
Costa Rica,-74%,-41%,-74%,-70%,-43%,+21%
